station	tmprg_max	tmprg_min	tmprg_diff	lat	lon	elev	state	name	gsn	hcn	wmo	rank_max	rank_min
ASN00009240	16.667626728	8.4903225806	8.1773041475	-32.0056	116.1364	384		BICKLEY			95610	2	0
ASN00009256	11.241820276	8.0446236559	3.1971966206	-32.2433	115.6839	6		GARDEN ISLAND HSF			95607	1	0
ASN00009500	7.1249462366	6.9206896552	0.2042565814	-35.0289	117.8808	3		ALBANY			94801	0	0
ASN00009518	7.0290322581	6.0451612903	0.9838709677	-34.3728	115.1358	13		CAPE LEEUWIN	GSN		94601	0	0
ASN00009519	10.873847926	4.6598924731	6.2139554531	-33.5372	115.0189	109		CAPE NATURALISTE			94600	1	0
ASN00009534	14.881105991	8.3647214854	6.5163845054	-33.5719	115.8247	63		DONNYBROOK			95622	1	0
ASN00009542	11.45483871	7.5065668203	3.9482718894	-33.6825	121.8275	142		ESPERANCE AERO			95638	1	0
ASN00009573	14.590322581	6.1225806452	8.4677419355	-34.2508	116.145	286.7		MANJIMUP			94617	1	0
ASN00009581	13.684615385	6.7263736264	6.9582417582	-34.625	117.6361	300		MOUNT BARKER			94630	1	0
ASN00009592	12.622235023	6.3290322581	6.293202765	-34.4478	116.0433	174		PEMBERTON			95613	1	0
ASN00009603	13.867741935	7.1316666667	6.7360752688	-33.6858	115.4008	16.3		BUSSELTON AERO			95611	1	0
ASN00009617	15.058064516	7.365483871	7.6925806452	-33.9486	116.1311	178.7		BRIDGETOWN			95632	1	0
ASN00009741	9.0955506118	8.1696470588	0.925903553	-34.9414	117.8022	68		ALBANY AIRPORT	GSN		94802	0	0
ASN00009746	11.487096774	4.8975806452	6.589516129	-34.0281	115.1042	80		WITCHCLIFFE			95641	1	0
ASN00009789	8.2	7.9092165899	0.2907834101	-33.83	121.8925	25		ESPERANCE	GSN		94638	0	0
ASN00009812	11.242032967	2.8701058201	8.3719271469	-33.0789	115.8806	40		HARVEY			95643	1	0
ASN00009842	14.703225806	7.2085714286	7.4946543779	-33.7964	115.6658	130		JARRAHWOOD			95623	1	0
