station	mntmax14	mntmax13	tmax_diff	indicator	lat	lon	elev	state
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.8342	-89.2075	240.8	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.8375	-89.4833	186.8	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	44.4333	-83.45	192.6	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.4667	-85.8	219.8	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.9667	-84.3333	231.6	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.9261	-84.1547	252.1	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	43.0161	-84.18	222.5	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.8094	-83.2569	317	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	47.0333	-88.6667	371.9	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.6	-85.2333	189	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	43.7733	-85.5025	281	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.0167	-85.55	265.2	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.3975	-89.1794	416.7	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.2167	-85.9	214.9	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.5719	-84.7858	217	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.3725	-84.9767	182.6	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.3614	-84.9511	228	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	47.4	-88.1	304.8	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.1864	-84.3239	191.7	MI
